Council,Type,Status,Geographical boundaries,Time restrictions,Start date,Vehicle scope ,Emission limits ,Cost for non-compliant vehicles,Fines for non-compliance,Future changes,Covid-19 Implications,Further information,Date information last updated,Location,Polygon
Aberdeen,LEZ,Active,City centre,24/7,30th May 2022,Road,"Petrol cars and vans - Euro IV / Diesel cars and vans - Euro VI / Motorcycles and mopeds - No requirement / Lorries buses and coaches - Euro VI / Fully electric or hydrogen fuel cell powered vehicles are exempt",Charging will not commence until May 2024,£60 initial penalty charge reduced by 50% if paid within 14 days,Penalty amount doubles with each subsequent breach of the rules,,For further information:https://www.aberdeencity.gov.uk/sites/default/files/2022-05/LEZ%20Summary.pdf,03/01/2023,Aberdeen City,"[[57.14625151506268,-2.113210678100579],[57.14294540517066,-2.1193113327026314],[57.14022113491372,-2.113134860992427],[57.14015127919318,-2.09004974365234],[57.145435007607254,-2.095990180969234],[57.14664399996985,-2.087811470031733],[57.14850685937852,-2.0883417129516646],[57.14976437039421,-2.0905885696411075],[57.153396161543455,-2.0904321670532067],[57.154490367022426,-2.1009540557861217],[57.15325691178465,-2.1115617752075133],[57.14956814501116,-2.1049618721008234]]"
Bath and North East Somerset Council,Class C CAZ,Active,Bath City Centre,24/7,15th March 2021,Road,"Petrol cars and vans - Euro IV / Diesel cars and vans - Euro VI / Motorcycles and mopeds - No requirement / Lorries buses and coaches - Euro VI / Fully electric or hydrogen fuel cell powered vehicles are exempt", Cars and vans charged at £9 per day. Lorries and trucks charged at £100 per day. No charge for motorcycles,Charge of £120 for each non-compliant day. If penalty paid within 14 days charge reduced to £60,
,,Further information from: https://beta.bathnes.gov.uk/bath-clean-air-zone,03/01/2023,Bath City Centre,"[[51.38490565407476,-2.378770828247063],[51.38943173061949,-2.379120826721186],[51.39319419310987,-2.373716831207271],[51.39117241008882,-2.3542366027831996],[51.39007255441263,-2.353096008300777],[51.39220055232574,-2.3424835205078076],[51.39369295936456,-2.342069625854477],[51.393368041581496,-2.3399744033813374],[51.38811748181757,-2.3445916175842108],[51.38822370937706,-2.3394329547881965],[51.38452734772763,-2.342432618141166],[51.385732345679024,-2.346764862537367],[51.381138828613814,-2.3488451540470012],[51.37814544571648,-2.3498852998018283],[51.37619328812392,-2.3532807007431966],[51.37646448721141,-2.3577060699462837],[51.373318711602856,-2.3674659729003844],[51.37431756268578,-2.372388839721673],[51.37548669381754,-2.3724470138549636],[51.37489256046329,-2.3692145347595095],[51.37727430012156,-2.369186162948589],[51.37758115676271,-2.364494204521166],[51.378725694030095,-2.3753232359886067],[51.38320855900925,-2.3732704818248562]]"
Birmingham City Council,Class D CAZ,Active,"Covers all of the road within the A4540 Middleway Ring Road, but not the Middleway itself.",24/7,14th June 2021,Petrol cars and vans - Euro IV / Diesel cars and vans - Euro VI / Motorcycles and mopeds - No requirement / Lorries, buses and coaches - Euro VI / Fully electric or hydrogen fuel cell powered vehicles are exempt ","Cars and vans - £8 per day / Motorcycles - no charge / Lorries and coaches - £50 per day",PCN of £120 for each non-compliant day. If paid within 14 days - £60,,,Further information from: https://www.brumbreathes.co.uk/info/25/welcome-2/45/charges-operation-1,03/01/2023,Birmingham,"[[52.46238966535354,-1.887390136718743],[52.471906344740546,-1.8707885742187447],[52.48727509604268,-1.879592895507809],[52.49414562662761,-1.8858337402343706],[52.4964169133341,-1.9161071777343697],[52.477824309790954,-1.9291839599609317],[52.470728092423705,-1.9134216308593688]]"
Brighton & Hove City Council, LEZ, Active, Small North Street & Western Road, 24/7, 2016, Buses only at this stage, The new low emission zone requirement is for bus emissions to meet Euro 6 standard or higher,,,,,Further information from https://www.brighton-hove.gov.uk/parking-and-travel/low-emission-zone,,,[[50.8268124999774-0.16150665283202414][50.82309853036907-0.13999128341674272][50.821309213283016-0.13714408874511363][50.82008726517942-0.13690471649169478][50.82038453733234-0.1385016441345166][50.82123807508817-0.13781952857969682][50.82162417133078-0.13880884647368363][50.822752541472724-0.14046221971510064][50.823547152609216-0.14420714974402227][50.823958008031454-0.14839704334735027][50.82459718800641-0.15188673883674841][50.82524208505583-0.15736522153018795][50.82572718343835-0.16038341261446654][50.82623938531013-0.1628007888793892][50.82503496017073-0.16324806213378285][50.82511047029961-0.164437294006341][50.82692384122645-0.16380882263181906]],  
Bristol City Council,Class D CAZ,Active,Small city centre area,24/7,2021,Road,"Petrol cars and vans - Euro IV / Diesel cars and vans - Euro VI / Motorcycles and mopeds - No requirement / Lorries / buses and coaches - Euro VI / Fully electric or hydrogen fuel cell powered vehicles are exempt ",Cars/vans/taxis/LGVs £9 per day / Lorries/buses/coaches £100 per day,If the charge is not paid you may be issued with a penalty charge of £120. This is reduced to £60 if paid within 14 days,,,For further information: https://www.bristol.gov.uk/residents/streets-travel/bristols-caz,03/01/2023,Bristol City Centre,"[[[51.44282702967734,-2.628709793090813],[51.4401520582872,-2.6274719238281197],[51.44122206564428,-2.6231622695922807],[51.44400396745461,-2.6207070350646933],[51.44269328482884,-2.6177628040313783],[51.445434975935434,-2.612213730812074],[51.44487996395085,-2.595405876636514],[51.44428147961349,-2.5869590342044857],[51.446656981557716,-2.5816198140382762],[51.44372561772166,-2.5788214579224666],[51.44439975612054,-2.5773793645203136],[51.44761483724625,-2.580915451049801],[51.45099620303865,-2.5799465179443315],[51.45225889954188,-2.5838394165039014],[51.45679455097201,-2.5795202255248872],[51.46104088189713,-2.582553386688222],[51.46062381189706,-2.591751813888532],[51.45584811378241,-2.6001348495483345],[51.452654309943924,-2.6044659614562926],[51.45025499389264,-2.6119101047515803],[51.452959932833814,-2.6227132081985305],[51.452547322699004,-2.62575441598891],[51.46065744285171,-2.6283049881458087],[51.461608558814916,-2.626002930104716],[51.46290723945829,-2.6263187080621586],[51.461077616347595,-2.6304754093289273],[51.45302296585802,-2.6295926012098603],[51.45092072986049,-2.6269625145941844],[51.448345096203894,-2.624488756991923],[51.44349980810653,-2.625698052812364]]"
Calderdale Metropolitan Borough Council, Zero Emission Zone, Consultation - to be completed by 2023, Area currently unknown,,Implementation 2025-2030,,,,,,,https://www.calderdale.gov.uk/v2/sites/default/files/Calderdale-Emission-Reduction-Pathways.pdf,,,"[[53.717332884419186,-1.958801269531243],[53.64738505336369,-1.9010009765624947],[53.687253288947865,-1.7896423339843714],[53.770603489134054,-1.795883178710933],[53.766213524388,-1.8735351562499947]]", 
Cambridge City Council,Class D CAZ,Consultation,Cambridge City Centre,,Expected before 2027/2028,,,,,,,Further information from: https://www.cambridge.gov.uk/clean-air-zone,03/02/2023,Cambridgeshire,"[[52.15655786983571,0.1080017089843821],[52.21149850457335,0.19910430908203658],[52.23862800978713,0.14738464355469105],[52.229530389173725,0.07035827636719283],[52.18674492037611,0.07613372802734997]]"
City of Bradford Metropolitan District Council,Class C CAZ,Active ,Will cover the city centre & Canal Road corridor & Shipley and Saltaire,24/7,September 2022,Road but will not include private cars,Petrol cars and vans - Euro IV / Diesel cars and vans - Euro VI / Motorcycles and mopeds - No requirement / Lorries buses and coaches - Euro VI / Fully electric or hydrogen fuel cell powered vehicles are exempt, Private hire vehicles and  vans - £7 per day / Motorcycles - no charge / Lorries buses and coaches - £50 per day", £120 issued for each day a non-compliant vehicle is used in CAZ and payment is not made on time,TBC,, Further information from: https://www.bradford.gov.uk/breathe-better-bradford/where-is-the-clean-air-zone/what-is-the-clean-air-zone-and-how-does-it-work/,03/01/2023,North Yorkshire,"[[53.76789126990153,-1.7480010986328054],[53.772456802432224,-1.7252197265624947],[53.79304625537523,-1.7172012329101527],[53.80542463157939,-1.7243328094482435],[53.81090758982558,-1.7390174865722718],[53.81133157492104,-1.7601470947265585],[53.83730797003175,-1.7845535278320268],[53.837179559171105,-1.8234100341796822],[53.82819052117697,-1.8159179687499938],[53.83159803034147,-1.7932891845703058],[53.80796811030328,-1.7730484008788894],[53.80182580426966,-1.7866172790527224],[53.79226503137833,-1.7858486175536914],[53.787078167843426,-1.7765378952026234],[53.781644592145284,-1.7856154441833394],[53.77243519047945,-1.7657783031463437]]"
Dundee,LEZ,Active but will not be enforced until May 2024,Inner ring road,24/7,May 2022,Road,Currently the proposed minimum criteria is: Euro 6 for diesel cars and vans (cars registered from September 2015) / Euro 4 for petrol cars and vans (cars registered from January 2006) / Euro VI for buses coaches & HGVs (generally vehicles registered from January 2013) / Motorcycles - Exempt",£60 per day, £60 reduced by 50% if paid within 14 days. Penalty amount doubles with each subsequent breach of the rules but charges are capped at £480 for cars and light goods vehicles AND £960 for buses and HGVs / Grace period in place until May 2024,,,Further information from: https://www.dundeecity.gov.uk/news/article?article_ref=3482,03/01/2023,Dundee City,"[[56.45966871652374,-2.977482795715325],[56.45776283676471,-2.9713368415832453],[56.45969835620024,-2.9677658081054625],[56.46070016366296,-2.9660739898681587],[56.46275111899746,-2.962518692016598],[56.46535743148144,-2.9681587219238237],[56.463981491604486,-2.972244739532466],[56.463648723890245,-2.9791631698608345]]"
Edinburgh,LEZ,Active,City centre,24/7,May 2022,Road,"Currently the proposed minimum criteria is: Euro 6 for diesel cars (cars registered from September 2015) / Euro 4 for petrol cars (cars registered from January 2006) / Euro 6 for heavy diesel vehicles (including older retrofitted engines which would be improved to operate as Euro 6)",£60 per day,£60 reduced by 50% if paid within 14 days. Penalty amount doubles with each subsequent breach of the rules but charges are capped at £480 for cars and light goods vehicles AND £960 for buses and HGVs,Grace period in place until June 2024,,"Further information from: https://www.edinburgh.gov.uk/lowemissionzone",03/01/2023,City of Edinburgh,"[[55.94074034223586,-3.1995697021484304],[55.93929823092825,-3.1884250640869105],[55.94147001175461,-3.1779566891491307],[55.94791929798911,-3.181392885744574],[55.94947447019031,-3.175390675663956],[55.95176768730654,-3.165188699960708],[55.95654591401692,-3.173108875751498],[55.95389702143724,-3.1789928674697965],[55.95465374485947,-3.1844093799591078],[55.957512533323865,-3.1842560768127504],[55.95698356909287,-3.187211036682125],[55.9535230126587,-3.209772109985347],[55.95236800723353,-3.2133522033691353],[55.94922069886819,-3.219225406646733],[55.945880882728225,-3.214798927307123],[55.94554529042248,-3.2057743072509703]]"
Glasgow,LEZ,Active for all. Charges for buses but grace period for other vehicles until June 2023,Within the M8 and the River Clyde the High Street and Saltmarket,24/7,December 2018. 2022 full implementation, Currently the proposed minimum criteria is: Euro 6 for diesel cars (cars registered from September 2015) / Euro 4 for petrol cars (cars registered from January 2006) / Euro 6 for heavy diesel vehicles (including older retrofitted engines which would be improved to operate as Euro 6)",£60 per day,£60 reduced by 50% if paid within 14 days. Penalty amount doubles with each subsequent breach of the rules but charges are capped at £480 for cars and light goods vehicles AND £960 for buses and HGVs,"Glasgow's LEZ is being phased in and to start with, will only apply to local service buses.",,,Further information from: https://www.glasgow.gov.uk/LEZ,03/01/2023,Glasgow City,"[[55.85643101521218,-4.269878387451165],[55.85662371098419,-4.2574462890624964],[55.85317742413012,-4.2471218109130815],[55.86039583360714,-4.239792466163643],[55.86173691354508,-4.23658299446106],[55.86759763892558,-4.236687183380132],[55.869684920667105,-4.243734478950498],[55.870134784337864,-4.253700017929067],[55.86949347490485,-4.2672796249389595],[55.86692813127085,-4.271472930908198]]"
