Training scheme,Owner,Source,Audience,Location,Sustainability issues covered,Stated aims and outcomes,Scope/coverage,Qualifications achieved,Pre-requisites,Requirements,Cost,Scheme duration,Qualification duration,Additional information,Source,
Air Quality for Plant and Equipment e-learning,Supply Chain Sustainability School,https://learn.supplychainschool.co.uk/local/tlactionplans/resource_intro.php?id=30&modtype=scorm,Construction industry,UK,Environment,An introductory e-learning to the sustainability issues associated with air quality for plant and equipment and non-road mobile machinery,What is air quality; why is air quality an issue; what can be done on site to improve air quality using non-road mobile machinery effectively,"Yes

CPD hours",Member of the Supply Chain Sustainability School (free to join),Complete a 15-question quiz and achieve an 80% pass rate,£0,30 minutes,Indefinite ,,https://learn.supplychainschool.co.uk/local/tlactionplans/resource_intro.php?id=30&modtype=scorm,
ALLMI (Association of Lorry Loader Manufacturers and Importers),ALLMI,https://www.allmi.com/operator-training/operator-training.html,Lorry loader operators,UK,"Health, Safety, Security & Wellbeing; Environment","To ensure that all managers, instructors and lorry loader lifting team members receive the highest standard of training, enabling the undertaking of their duties in a safe and efficient manner. This is a partner plant card scheme to CSCS. ","The ALLMI training scheme is approved by CSCS. Course consist of 15 modules, including: pre-operational checks and maintenance instruction.","Yes

ALLMI identity card and certificate",None,"The course is one or two days in duration, depending on whether the candidate is a novice or experienced operator. Both courses culminate in a written and practical exam. ",£251-£500,Between 1-7 days,5 years,"Trained operator red card lasts for 3 years and cannot be renewed – aim is to move up to plant operator blue card. Must undergo refresher training every 4 years.
All training providers set their own prices for training. A 1-day course can cost £100 ",https://www.allmi.com/operator-training/operator-training.html,
CITB Eco Operator: Plant Machinery,CITB,https://www.citb.co.uk/national-construction-college/plant-operations/eco-operator-plant-machinery/,Plant operators (experienced),UK,"Health, Safety, Security & Wellbeing   ",For experienced plant operators that desire a formal qualification,Content includes: name and explain the purpose of principal components; prepare and operate machinery utilising all available eco mode devices and completing set tasks in the most productive manner; awareness of onsite hazards; place the machine in an out of service condition.,"Yes

CITB National Construction College Certificate","Read, write and speak English to a good level",A learning course delivered through a mix of classroom-based teaching and practical exercises.,£101-£250,Between 1-7 days,Indefinite ,"£175
Grants are available for eligible employers",https://www.citb.co.uk/national-construction-college/plant-operations/eco-operator-plant-machinery/,
CITB Management of Lifting Operations in Construction,CITB,https://www.citb.co.uk/national-construction-college/plant-operations/management-of-lifting-operations-in-construction/),Lifting operators,UK,"Health, Safety, Security & Wellbeing   ","This course is suitable for those who have received no formal instruction or if they wish to refresh their skills. Aim is to develop knowledge of applicable legislation, industry best practice and responsibilities. ","Course content includes: best practice for lifting operation planners/equipment; best practice particular to the installation, through examination, testing, operation and maintenance of lifting equipment and accessories; maintenance responsibilities; policies and legislation. ","Yes

CITB National Construction College Certificate","Read, write and speak English to a good level",Two days learning of classroom-based teaching. Assessed using documentation navigation exercises,£251-£500,Between 1-7 days,Indefinite ,"£350
Grants are available",https://www.citb.co.uk/national-construction-college/plant-operations/management-of-lifting-operations-in-construction/),
CITB Managing and Co-ordinating plant,CITB,https://www.citb.co.uk/national-construction-college/plant-operations/managing-and-coordinating-plant/,Plant managers,UK,"Health, Safety, Security & Wellbeing; Environment","To help those who manage and coordinate plant in the construction industry to effectively manage the application and movement of various plant and equipment types, and to ensure compliance with current legislation and good practice.",Content includes: explain the principles for planning plant operations on site; identify the considerations needed when managing plant operations on site; explain the methodology used in the production of risk assessments; explain the factors used in the consideration of the selection of plant; define the principles for managing the setting up and running of safe working areas; explain how plant operations are instigated and managed throughout the lifecycle of a project.,"Yes

CITB National Construction College Certificate","Read, write and speak English to a good level","Assessed on an individual basis via a written test and the scenario exercise over the five days. 
Refresher course also available. ",£500+,Between 1-7 days,Indefinite ,"£560
Grants are available",https://www.citb.co.uk/national-construction-college/plant-operations/managing-and-coordinating-plant/,
CITB Safe Working Practices Around Construction Plant Equipment,CITB,https://www.citb.co.uk/national-construction-college/plant-operations/safe-working-practices-around-construction-plant-equipment/,Plant operators ,UK,"Health, Safety, Security & Wellbeing   ",This course is for anyone working with construction plant machinery who needs to be aware of the dangers of operating in close proximity to other vehicles/obstructions. Candidates will learn about excavation awareness and traffic/vehicle movements on site.,"Course content includes: 
Theoretical knowledge of excavator movements; safety signs and signals within vehicle movements; codes of practice; bankspersons’ roles and responsibilities according to legislation; codes of practice manufacturer’s instructions/guidance. ","Yes

CITB National Construction College Certificate","Read, write and speak English to a good level",Two days training using a series of practical classroom-based activities,£251-£500,Between 1-7 days,Indefinite ,"£315
Grants are available",https://www.citb.co.uk/national-construction-college/plant-operations/safe-working-practices-around-construction-plant-equipment/,
CITB SEATS (Site Environmental Awareness Training Scheme): Site Safety Plus Course,CITB,https://www.citb.co.uk/national-construction-college/health-and-safety-courses/site-environmental-awareness-training-scheme/,Site managers,UK,"Health, Safety, Security & Wellbeing; Environment","Meets the basic environmental knowledge that the sub-contract chain is required to prove to major contractors. Also covers the environmental aspects of the CITB Health, safety and environment (HS&E) test.","A highly interactive course taught through case studies, classroom discussion, group work and individual or group presentations. Course content includes: best practice techniques and legal compliance; the environment and why it matters; environmental management systems; waste management; how to be a good neighbour: statutory nuisance, communication; archaeology and heritage; energy and resources; being a responsible contractor. ","Yes

CITB renewable 5-year Site Safety Plus certificate","Read, write and speak English to a good level","A highly interactive course taught through case studies, classroom discussion, group work and individual or group presentations; multiple-choice test. ",£101-£250,Between 1-7 days,5 years,"From £175
Grants are available",https://www.citb.co.uk/national-construction-college/health-and-safety-courses/site-environmental-awareness-training-scheme/,
CITB SMSTS (Site Management Safety Training Scheme): Site Safety Plus Course,CITB,https://www.citb.co.uk/national-construction-college/health-and-safety-courses/site-management-safety-training-scheme-smsts/,Site managers,UK,"Health, Safety, Security & Wellbeing; Environment","Gain an understand go health, safety, welfare and environmental issues on construction sites","A highly interactive course taught through case studies, classroom discussion, group work and individual or group presentations. Course content includes: Health and Safety at Work Act; Construction Design and Management (CDM) Regulations; Risk assessments/method statements; recent changes in accepted working practices; behavioural safety; management of occupational health; scaffolding; demolition.","Yes

CITB renewable 5-year Site Safety Plus certificate","Read, write and speak English to a good level",Self-study outside the course; a continuous assessment where the site supervisor must attend the full 5 days; multiple-choice test.,£500+,Between 1-7 days,5 years,"From £615
Grants are available. Refresher course available ",https://www.citb.co.uk/national-construction-college/health-and-safety-courses/site-management-safety-training-scheme-smsts/,
CITB SSSTS (Site Supervisors' Safety Training Scheme) Course,CITB,https://www.citb.co.uk/national-construction-college/health-and-safety-courses/site-supervisors-safety-training-scheme-sssts/,Site managers,UK,"Health, Safety, Security & Wellbeing; Environment","For site supervisors to learn about their legal responsibilities regarding health, safety, welfare and environmental issues","A highly interactive course taught through case studies, classroom discussion, group work and individual or group presentations. Course content includes: Health and Safety at Work Act; specific site issues that challenge supervisors on a daily basis; effective toolbox talks; supervision of occupational health; behavioural safety. 

","Yes

CITB renewable 5-year Site Safety Plus certificate","Read, write and speak English to a good level",Self-study outside the course; a continuous assessment where the site supervisor must attend the full 2 days; multiple-choice test.,£251-£500,Between 1-7 days,5 years,"From £305
Grants are available.
Refresher course available",https://www.citb.co.uk/national-construction-college/health-and-safety-courses/site-supervisors-safety-training-scheme-sssts/,
CITB Trailblazer Apprenticeship Standards,CITB,https://www.citb.co.uk/courses-and-qualifications/citb-apprenticeships/become-a-citb-apprentice/about-citb-apprenticeships/,Those looking to become plant operator apprentices,UK,"Health, Safety, Security & Wellbeing; Environment",A CITB apprenticeship combines on-site experience with college learning to provide the right balance of training and real-life experience.,"Many different apprenticeships exist, some of which include: Construction plant operative; hire controller (plant, tools and equipment); Demolition operative; plant inspector/controller; plant mechanic","Yes

NVQ or SVQ","GCSEs in Maths and English preferable, however there are other ways to enter an apprenticeship including: Get Ready for Work programmes; Youthbuild projects; Foundation Learning. ",A traditional apprenticeship route combines college (or training provider) attendance with learning on site. A specialist apprenticeship programme includes training from a corporate manufacturer or trade association instead of a college. Practical and knowledge tests required. ,Apprentices are in full-time employment and will be paid at least National Minimum Wage for Apprentices. Most new entrants to the construction industry are eligible for some form of funding.,2-4 years,Indefinite ,Detail will vary depending on the specific apprenticeship chosen,https://www.citb.co.uk/courses-and-qualifications/citb-apprenticeships/become-a-citb-apprentice/about-citb-apprenticeships/,
